state_name,district_name,block_tehsil_name,village_name,s_no_of_scheme,ref_scheme_type_surface_flow_name,ref_scheme_type_surface_lift_name,ref_scheme_owner_name,total_owners_holding,ref_scheme_owner_social_status_name,gender_name,commissioning_period_display,scheme_construction_cost,scheme_machinery_cost,scheme_maintainence_cost,finance_source_name,finance_source_name2,construction_subsidy,machinery_subsidy,scheme_status_name,not_in_use_years,scheme_status_reason_temporarily_name,scheme_status_reason_permanently_name,water_distribution_method_name,lifting_device_type_name,lifting_device_enrgy_source_name,horse_power_of_lifting_device,pump_operating_days_kharif_season,pump_operating_days_rabi_season,pump_operating_days_perennial_season,pump_operating_days_other_season,avg_pumping_per_day_kharif_season,avg_pumping_per_day_rabi_season,avg_pumping_per_day_perennial_season,avg_pumping_per_day_other_season,ref_selection_id_located_in_major_medium_scheme_name,command_area_name,ref_reason_command_area_name,ref_scheme_recharge_of_ground_water_name,culturable_command_area,ipc_kharif_season,ipc_rabi_season,ipc_perennial_season,ipc_other_season,ipc_total,ipu_kharif_season,ipu_rabi_season,ipu_perennial_season,ipu_other_season,ipu_total,ref_selection_id_under_utilisation_name,ref_reason_for_under_utilisation_name,scheme_designed_storage,ref_filled_up_storage_name,ref_filled_up_storage_space_name,villages_covered,s_no_scheme_within_village_in_water_body,total_no_of_schemes_in_village_above_water_body
RAJASTHAN,BANSWARA,KUSHALGARH,BHAAT MAHUDI,2,NA,Others,Others,NA,NA,NA,Up to 2013-2014,0,46000,0,NA,NA,0,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,80,0,0,NA,6,NA,NA,Yes,NA,NA,No,3,0,3,0,0,3,0,3,0,0,3,No,NA,NA,NA,NA,1,NA,NA
RAJASTHAN,BANSWARA,KUSHALGARH,KOTRA,2,NA,Others,Others,NA,NA,NA,Up to 2013-2014,0,45000,0,NA,NA,0,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,90,0,0,NA,6,NA,NA,Yes,NA,NA,No,1,0,1,0,0,1,0,1,0,0,1,No,NA,NA,NA,NA,1,NA,NA
RAJASTHAN,BANSWARA,KUSHALGARH,KOTRA,3,NA,Others,Others,NA,NA,NA,During 2016-2017,200000,46000,0,NA,NA,0,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,90,0,0,NA,6,NA,NA,Yes,NA,NA,No,2,0,2,0,0,2,0,2,0,0,2,No,NA,NA,NA,NA,1,NA,NA
RAJASTHAN,BANSWARA,KUSHALGARH,BHAAT MAHUDI,1,NA,Others,Others,NA,NA,NA,Up to 2013-2014,0,44000,0,NA,NA,0,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,90,0,0,NA,6,NA,NA,Yes,NA,NA,No,3,0,3,0,0,3,0,3,0,0,3,No,NA,NA,NA,NA,1,NA,NA
RAJASTHAN,BANSWARA,KUSHALGARH,KOTRA,1,NA,Others,Others,NA,NA,NA,Up to 2013-2014,0,43000,0,NA,NA,0,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,80,0,0,NA,6,NA,NA,Yes,NA,NA,No,1,0,1,0,0,1,0,1,0,0,1,No,NA,NA,NA,NA,1,NA,NA
RAJASTHAN,BANSWARA,KUSHALGARH,MUNIPARA,1,NA,Others,Others,NA,NA,NA,During 2015-2016,200000,47000,0,NA,NA,0,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,90,0,0,NA,6,NA,NA,Yes,NA,NA,No,6,0,6,0,0,6,0,6,0,0,6,No,NA,NA,NA,NA,1,NA,NA
RAJASTHAN,BANSWARA,KUSHALGARH,MUNIPARA,3,NA,Others,Others,NA,NA,NA,Up to 2013-2014,0,41000,0,NA,NA,0,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,100,0,0,NA,6,NA,NA,Yes,NA,NA,No,6,0,6,0,0,6,0,6,0,0,6,No,NA,NA,NA,NA,1,NA,NA
RAJASTHAN,AJMER,TANTOTI,TANTOTI,7,NA,On-Stream,Panchayat Owned,NA,NA,NA,Up to 2013-2014,1268000,360000,0,NA,NA,0,0,Temporarily Not in use,2,Storage not filled up fully,NA,Surface pipe, Centrifugal Pump,Diesel,3,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,80,20,60,0,0,80,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,0
RAJASTHAN,AJMER,TANTOTI,TANTOTI,9,NA,On-drain/canal,Panchayat Owned,NA,NA,NA,Up to 2013-2014,1370000,380000,0,NA,NA,0,0,Temporarily Not in use,2,Less discharge of water,NA,Drip, Centrifugal Pump,Diesel,3,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,55,20,45,0,0,65,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,0
RAJASTHAN,AJMER,TANTOTI,TANTOTI,11,NA,On-Stream,Panchayat Owned,NA,NA,NA,Up to 2013-2014,1080000,280000,0,NA,NA,0,0,Temporarily Not in use,2,Storage not filled up fully,NA,Surface pipe, Centrifugal Pump,Diesel,3,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,28,12,20,0,0,32,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,0
RAJASTHAN,BANSWARA,KUSHALGARH,MUNIPARA,6,NA,Others,Others,NA,NA,NA,During 2016-2017,200000,50000,2000,NA,NA,0,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,80,0,0,NA,6,NA,NA,Yes,NA,NA,No,7,0,7,0,0,7,0,7,0,0,7,No,NA,NA,NA,NA,1,NA,NA
RAJASTHAN,AJMER,TANTOTI,TANTOTI,6,NA,On-Stream,Panchayat Owned,NA,NA,NA,Up to 2013-2014,1162000,268000,0,NA,NA,0,0,Temporarily Not in use,2,Storage not filled up fully,NA,Surface pipe, Centrifugal Pump,Diesel,3,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,60,20,45,0,0,65,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,0
RAJASTHAN,AJMER,TANTOTI,TANTOTI,10,NA,On-Stream,Panchayat Owned,NA,NA,NA,Up to 2013-2014,1068000,370000,0,NA,NA,0,0,Temporarily Not in use,2,Storage not filled up fully,NA,Surface pipe, Centrifugal Pump,Diesel,3,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,36,15,27,0,0,42,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,0
RAJASTHAN,AJMER,TANTOTI,TANTOTI,8,NA,On-Stream,Panchayat Owned,NA,NA,NA,Up to 2013-2014,1050000,290000,0,NA,NA,0,0,Temporarily Not in use,2,Storage not filled up fully,NA,Surface pipe, Centrifugal Pump,Diesel,3,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,30,15,25,0,0,40,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,0
RAJASTHAN,AJMER,TANTOTI,TANTOTI,1,NA,On-Stream,Panchayat Owned,NA,NA,NA,Up to 2013-2014,1160000,260000,0,NA,NA,0,0,Temporarily Not in use,2,Storage not filled up fully,NA,Surface pipe, Centrifugal Pump,Diesel,3.5,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,58,26,34,0,0,60,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,0
RAJASTHAN,BANSWARA,KUSHALGARH,KANAJPADA,2,NA,Others,Others,NA,NA,NA,Up to 2013-2014,0,48000,0,NA,NA,0,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,80,0,0,NA,6,NA,NA,Yes,NA,NA,No,6,0,6,0,0,6,0,6,0,0,6,No,NA,NA,NA,NA,1,NA,NA
RAJASTHAN,BANSWARA,KUSHALGARH,KANAJPADA,1,NA,Others,Others,NA,NA,NA,Up to 2013-2014,0,48000,0,NA,NA,0,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,80,0,0,NA,6,NA,NA,Yes,NA,NA,No,6,0,6,0,0,6,0,6,0,0,6,No,NA,NA,NA,NA,1,NA,NA
RAJASTHAN,BANSWARA,KUSHALGARH,JHIKLEE,3,NA,Others,Others,NA,NA,NA,Up to 2013-2014,0,48000,0,NA,NA,0,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Diesel,7,0,80,0,0,NA,5,NA,NA,Yes,NA,NA,No,10,0,10,0,0,10,0,10,0,0,10,No,NA,NA,NA,NA,1,NA,NA
RAJASTHAN,BANSWARA,KUSHALGARH,JHIKLEE,1,NA,Others,Others,NA,NA,NA,Up to 2013-2014,0,51000,0,NA,NA,0,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Diesel,7,0,90,0,0,NA,6,NA,NA,Yes,NA,NA,No,11,0,11,0,0,11,0,11,0,0,11,No,NA,NA,NA,NA,1,NA,NA
RAJASTHAN,BANSWARA,KUSHALGARH,JHIKLEE,4,NA,Others,Others,NA,NA,NA,Up to 2013-2014,0,45000,0,NA,NA,0,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,90,0,0,NA,6,NA,NA,Yes,NA,NA,No,10,0,10,0,0,10,0,10,0,0,10,No,NA,NA,NA,NA,1,NA,NA
RAJASTHAN,AJMER,SARWAD,GOPALPURA,1,NA,Others,Owned by individual farmer,2.1,OBC,Male,During 2014-2015,85000,12000,4500,Government fund,NA,50000,8800,Temporarily Not in use,2,Storage not filled up fully,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,2,0,2,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
RAJASTHAN,AJMER,SARWAD,TAJPURA,3,NA,Others,Owned by Group of farmers,NA,NA,NA,Up to 2013-2014,0,40000,0,NA,NA,0,0,Temporarily Not in use,0,Less discharge of water,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0
RAJASTHAN,BANSWARA,SAJJANGARH,EETALA,3,NA,On-drain/canal,Govt. Owned,NA,NA,NA,During 2014-2015,60000,120000,12000,NA,NA,0,65000,In-Use,NA,NA,NA,Drip,Submersible pump,Diesel,10,0,25,0,0,NA,6,NA,NA,Yes,NA,NA,No,8.5,0,8.5,0,0,8.5,0,8.5,0,0,8.5,No,NA,NA,NA,NA,1,0,0
RAJASTHAN,BANSWARA,SAJJANGARH,EETALA,5,NA,On-drain/canal,Govt. Owned,NA,NA,NA,During 2015-2016,45000,90000,0,NA,NA,45000,60000,In-Use,NA,NA,NA,Drip,Submersible pump,Diesel,10,0,30,0,0,NA,6,NA,NA,Yes,NA,NA,No,9,0,9,0,0,9,0,9,0,0,9,No,NA,NA,NA,NA,1,0,0
RAJASTHAN,AJMER,SARWAD,GANESH PURA,4,NA,Others,Owned by Group of farmers,NA,NA,NA,Up to 2013-2014,55000,12000,3,NA,NA,55000,2000,Temporarily Not in use,2,Any other reason,NA,Surface pipe, Centrifugal Pump,Diesel,8,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
RAJASTHAN,AJMER,SARWAD,KALYAN PURA,3,NA,Others,Owned by individual farmer,2.96,OBC,Female,During 2014-2015,85000,100000,4500,Government fund,NA,52000,8000,Temporarily Not in use,2,Any other reason,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,2.7,0,2.7,0,0,2.7,0,0,0,0,0,NA,NA,NA,NA,NA,1,3,1
RAJASTHAN,AJMER,SARWAD,GOPALPURA,2,NA,Others,Owned by individual farmer,2.38,OBC,Male,During 2015-2016,85000,12000,4800,Government fund,NA,50000,9000,Temporarily Not in use,2,Any other reason,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,2.08,0,2.08,0,0,2.08,0,0,0,0,0,NA,NA,NA,NA,NA,1,2,1
RAJASTHAN,AJMER,SARWAD,TAJPURA,7,NA,Others,Owned by Group of farmers,NA,NA,NA,Up to 2013-2014,82000,42000,0,NA,NA,50000,0,Temporarily Not in use,0,Less discharge of water,NA,Surface pipe, Centrifugal Pump,Diesel,8,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
RAJASTHAN,AJMER,SARWAD,TAJPURA,5,NA,Others,Owned by Group of farmers,NA,NA,NA,Up to 2013-2014,78000,45000,0,NA,NA,50000,0,Temporarily Not in use,2,Less discharge of water,NA,Surface pipe, Centrifugal Pump,Diesel,10,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,0
RAJASTHAN,AJMER,SARWAD,SANGANER,2,NA,Others,Owned by Group of farmers,NA,NA,NA,Up to 2013-2014,80000,12000,0,NA,NA,0,0,Temporarily Not in use,1,Any other reason,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,2.8,2.8,2.8,0,0,5.6,0,0,0,0,0,NA,NA,NA,NA,NA,1,2,0
RAJASTHAN,AJMER,SARWAD,TAJPURA,4,NA,Others,Owned by Group of farmers,NA,NA,NA,Up to 2013-2014,90000,35000,0,NA,NA,50000,0,Temporarily Not in use,2,Less discharge of water,NA,Surface pipe, Centrifugal Pump,Diesel,8,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0
RAJASTHAN,AJMER,SARWAD,KALYAN PURA,1,NA,Others,Owned by individual farmer,1.78,OBC,Male,During 2014-2015,85000,11000,5000,Government fund,NA,52000,9500,Temporarily Not in use,2,Any other reason,NA,Open Water Channel (unlined / Kutcha), Centrifugal Pump,Diesel,5,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,1.6,0,1.6,0,0,1.6,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
RAJASTHAN,AJMER,SARWAD,TAJPURA,6,NA,Others,Owned by Group of farmers,NA,NA,NA,Up to 2013-2014,80000,40000,0,NA,NA,50000,0,Temporarily Not in use,0,Less discharge of water,NA,Surface pipe, Centrifugal Pump,Diesel,8,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0
RAJASTHAN,AJMER,SARWAD,KALYAN PURA,2,NA,Others,Owned by individual farmer,1.72,OBC,Male,During 2015-2016,85000,12000,4000,Government fund,NA,52000,8800,Temporarily Not in use,2,Any other reason,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,1.65,0,1.65,0,0,1.65,0,0,0,0,0,NA,NA,NA,NA,NA,1,2,1
RAJASTHAN,AJMER,SARWAD,KALYAN PURA,4,NA,Others,Owned by individual farmer,3.05,OBC,Female,During 2014-2015,85000,12000,4000,Government fund,NA,52000,8000,Temporarily Not in use,2,Any other reason,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,2.8,0,2.8,0,0,2.8,0,0,0,0,0,NA,NA,NA,NA,NA,1,4,1
RAJASTHAN,AJMER,SARWAD,TAJPURA,8,NA,Others,Owned by Group of farmers,NA,NA,NA,Up to 2013-2014,85000,35000,0,NA,NA,50000,0,Temporarily Not in use,2,Less discharge of water,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,0
RAJASTHAN,AJMER,SARWAD,SANPLA,6,NA,Others,Owned by Group of farmers,NA,NA,NA,During 2017-2018,85000,0,0,NA,NA,0,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Diesel,8,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Storage not filled up fully,NA,NA,NA,1,NA,NA
RAJASTHAN,AJMER,SARWAD,BHAGWANPURA,3,NA,On Tanks/Ponds/Reservoirs/check dams,Owned by individual farmer,0.38,OBC,Male,During 2014-2015,75000,15500,0,Own savings,NA,52000,11000,Temporarily Not in use,2,Less discharge of water,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,0.38,0,0.38,0,0,0.38,0,0.38,0,0,0.38,NA,NA,28000,Nil/Negligible filled up,Rarely filled up,1,3,1
RAJASTHAN,AJMER,SARWAD,SANPLA,10,NA,Others,Owned by Group of farmers,NA,NA,NA,During 2017-2018,85000,0,0,NA,NA,63000,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Diesel,10,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Storage not filled up fully,NA,NA,NA,1,NA,NA
RAJASTHAN,AJMER,SARWAD,TAJPURA,13,NA,Others,Owned by Group of farmers,NA,NA,NA,Up to 2013-2014,90000,42000,0,NA,NA,50000,0,Temporarily Not in use,2,Less discharge of water,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,0
RAJASTHAN,AJMER,SARWAD,SANPLA,12,NA,Others,Owned by individual farmer,0.95,Others,Male,During 2017-2018,85000,0,0,Bank loan,NA,63000,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Diesel,8,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Storage not filled up fully,NA,NA,NA,1,NA,NA
RAJASTHAN,AJMER,SARWAD,SANPLA,7,NA,Others,Owned by Group of farmers,NA,NA,NA,During 2017-2018,8500,0,0,NA,NA,6300,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Diesel,8,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Storage not filled up fully,NA,NA,NA,1,NA,NA
RAJASTHAN,AJMER,SARWAD,SANPLA,8,NA,Others,Owned by Group of farmers,NA,NA,NA,During 2017-2018,85000,0,0,NA,NA,63000,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Diesel,8,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Storage not filled up fully,NA,NA,NA,1,NA,NA
RAJASTHAN,AJMER,SARWAD,SANPLA,9,NA,Others,Owned by Group of farmers,NA,NA,NA,During 2017-2018,85000,0,0,NA,NA,63000,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Diesel,10,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Storage not filled up fully,NA,NA,NA,1,NA,NA
RAJASTHAN,AJMER,SARWAD,CHAKWA,2,NA,Others,Owned by Group of farmers,NA,NA,NA,Up to 2013-2014,80000,12000,0,NA,NA,50000,0,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,7,0,0,NA,3,NA,NA,Yes,NA,NA,No,2.45,2.45,2.45,0,0,4.9,0,1.1,0,0,1.1,Yes,Storage not filled up fully,NA,NA,NA,1,2,0
RAJASTHAN,AJMER,SARWAD,TAJPURA,12,NA,Others,Owned by Group of farmers,NA,NA,NA,Up to 2013-2014,95000,40000,0,NA,NA,50000,0,Temporarily Not in use,0,Less discharge of water,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,0
RAJASTHAN,AJMER,SARWAD,TAJPURA,15,NA,On Tanks/Ponds/Reservoirs/check dams,Owned by Group of farmers,NA,NA,NA,During 2014-2015,85000,43000,0,NA,NA,50000,0,Temporarily Not in use,2,Less discharge of water,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,Upto 1/2,Rarely filled up,1,15,NA
RAJASTHAN,AJMER,SARWAD,SHOLIYA,1,NA,Others,Owned by individual farmer,1.3,Scheduled-caste,Male,Up to 2013-2014,56000,8000,0,Own savings,NA,56000,2000,Temporarily Not in use,2,Storage not filled up fully,NA,Surface pipe, Centrifugal Pump,Diesel,8,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,No,1.7,0,1.7,0,0,1.7,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,1
RAJASTHAN,AJMER,SARWAD,TAJPURA,9,NA,Others,Owned by Group of farmers,NA,NA,NA,Up to 2013-2014,88000,38000,0,NA,NA,50000,0,Temporarily Not in use,2,Less discharge of water,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,0
RAJASTHAN,AJMER,SARWAD,TAJPURA,18,NA,On Tanks/Ponds/Reservoirs/check dams,Owned by Group of farmers,NA,NA,NA,Up to 2013-2014,95000,35000,0,NA,NA,50000,0,Temporarily Not in use,2,Less discharge of water,NA,Surface pipe, Centrifugal Pump,Diesel,10,0,0,0,0,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800,Upto 3/4,Usually filled up,1,18,0
